,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
0,FaZe Clan,Shanks,Logitech G703,1000.0,400.0,0.45,180.0,1.0,ZOWIE XL2546,1920x1080,ZOWIE G-SR-SE Rouge,Razer Huntsman V2 TKL,HyperX Cloud II
1,MOUZ,iluri,Razer Deathadder V3 Pro Black,4000.0,800.0,0.32,256.0,1.0,ZOWIE XL2546K,1280x960,Razer Gigantus V2,Razer Huntsman Mini,Razer BlackShark V2 Pro
2,MOUZ,Obnoks,Razer Deathadder V3 Pro Black,1000.0,400.0,0.33299999999999996,131.2,1.0,AOC AG254FG,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
3,MOUZ,murii,G-Wolves Hati S+ 4K,1000.0,800.0,0.375,300.0,1.0,ASUS ROG STRIX XG248Q,1280x1024,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2
4,G2 Esports,trent,Razer Viper V2 Pro Black,1000.0,1600.0,0.125,200.0,1.0090000000000001,ZOWIE XL2546,1280x960,Lamzu Energon,Wooting 60 HE,HyperX Cloud II
5,G2 Esports,ShahZaM,Logitech G703,1000.0,800.0,0.265,212.0,1.0,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
6,G2 Esports,neT,Razer Viper V2 Pro Black,1000.0,400.0,0.44,176.0,1.0,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Anne Pro 2,HyperX Cloud II
7,G2 Esports,valyn,Logitech G Pro X Superlight Black,1000.0,1600.0,0.15,240.0,1.0,ZOWIE XL2566K,1920x1080,Logitech G640 Original,Razer Huntsman Mini,Logitech G Pro X Headset
8,G2 Esports,JonahP,Razer Viper V2 Pro Black,1000.0,400.0,0.5,200.0,1.0,ZOWIE XL2546,1920x1080,Gamesense Radar,Logitech G Pro Keyboard,Sennheiser GAME ZERO
9,G2 Esports,leaf,Logitech G Pro X Superlight 2 Black,2000.0,1600.0,0.07,112.0,1.0,ZOWIE XL2566K,1280x960,ZOWIE G-SR-SE Gris,Wooting 60 HE,HyperX Cloud II
10,Team Vitality,ceNder,Razer Deathadder V3 Pro White,1000.0,400.0,0.35,140.0,1.0,AlienWare AW2518HF,1920x1080,ZOWIE G-SR-SE Rouge,Ducky One 2 Mini,HyperX Cloud Alpha S
11,Team Vitality,Destrian,Razer Viper V2 Pro White,,,,,,,,VAXEE PA FunSpark V2,,
12,Team Vitality,BONECOLD,Razer Deathadder V3 Pro Black,1000.0,800.0,0.27,216.0,1.0,ZOWIE XL2540,1280x960,VAXEE PA Black,Razer Huntsman V3 Pro TKL,Sennheiser GAME ZERO
13,Team Vitality,MOLSI,Logitech G Pro X Superlight Black,1000.0,1600.0,0.15,240.0,1.0,ZOWIE XL2566K,1280x960,Logitech G640 Original,,HyperX Cloud II Wireless
14,Team Vitality,Sayf,Logitech G Pro X Superlight Red,1000.0,800.0,0.25,200.0,1.3,ASUS ROG SWIFT PG259QN,1280x1024,Artisan FX Hien XSoft,Wooting 60 HE,HyperX Cloud II
15,Natus Vincere,ANGE1,Razer Deathadder V3 Pro White,1000.0,800.0,0.5,400.0,1.0,ZOWIE XL2546,1280x960,Logitech G640 NAVI,Logitech G715,HyperX Cloud Revolver
16,Natus Vincere,Zyppan,VAXEE XE Wireless Black,1000.0,800.0,0.24,192.0,1.0,,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,
17,Natus Vincere,ardiis,Logitech G Pro X Superlight White,1000.0,800.0,0.27,216.0,1.0,AOC AG251FZ2E,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
18,Natus Vincere,Suygetsu,Logitech G Pro X Superlight 2 Black,1000.0,800.0,0.25,200.0,1.0,ZOWIE XL2546,1440x1080,Artisan Ninja FX Zero XSoft,Logitech G Pro X TKL Keyboard Magenta,Logitech G Pro X Headset
19,Natus Vincere,Shao,Logitech G Pro X Superlight Magenta,1000.0,800.0,0.35,280.0,1.0,ZOWIE XL2546,1920x1080,Logitech G740,HyperX Alloy FPS,HyperX Cloud II
20,Cloud9,jakee,Logitech G Pro X Superlight Black,1000.0,800.0,0.217,173.6,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II Pink
21,Cloud9,OXY,Logitech G Pro X Superlight Black,1000.0,800.0,0.23,184.0,1.0,,1600x1024,HyperX Fury S Pro,Wooting 60 HE,Sennheiser HD 599
22,Cloud9,wippie,ZOWIE EC1-CW,1000.0,800.0,1.5719999999999998,1257.6,0.948,ZOWIE XL2566K,1024x768,Logitech G640 NAVI,Logitech G915,Logitech G Pro X Wireless Headset
23,Cloud9,Xeppaa,Logitech G Pro X Superlight 2 Magenta,1000.0,1600.0,0.14,224.0,1.0,ZOWIE XL2566K,1280x960,ZOWIE G-SR-SE Gris,HyperX Alloy Origins Core,HyperX Cloud II
24,Cloud9,vanity,ZOWIE EC2-CW,1000.0,1600.0,0.141,225.6,1.0,ZOWIE XL2566K,1920x1080,Logitech G640 Original,HyperX Alloy FPS,HyperX Cloud II
25,Team Occupy,Yassa,Logitech G Pro Wireless,1000.0,800.0,0.23,184.0,1.0,GIGABYTE AORUS FI25F,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
26,Team Liquid,frttt,ZOWIE EC2,1000.0,1600.0,0.755,1208.0,1.0,ZOWIE XL2546K,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud II
27,Team Liquid,Mendo,Logitech G Pro X Superlight White,1000.0,450.0,0.55,247.5,1.0,Alienware AW2521H,1440x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,beyerdynamic DT 1990 PRO
28,Team Liquid,nAts,ZOWIE S2,1000.0,800.0,0.49,392.0,1.0,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Alienware AW420K,HyperX Cloud Alpha S
29,Team Liquid,Mistic,Logitech G Pro X Superlight Magenta,1000.0,800.0,0.24,192.0,1.0,ZOWIE XL2546K,1280x960,VAXEE PA FunSpark,Wooting 60 HE,HyperX Cloud II
30,Team Liquid,Enzo,Lamzu Atlantis,1000.0,800.0,0.314,400.0,1.0,ZOWIE XL2546,1440x1080,Lethal Gaming Gear Saturn Pro,Razer Huntsman V2,HyperX Cloud II Gun Metal
31,Team Liquid,bizerra,Logitech G Pro X Superlight Black,1000.0,800.0,0.26,208.0,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero Soft,Logitech G Pro X Keyboard,HyperX Cloud Orbit S
32,Team Liquid,joojina,VAXEE XE Wireless Orange,1000.0,800.0,0.4,320.0,,ASUS TUF VG279QM,1920x1080,VAXEE PA FunSpark,Alienware AW420K,Logitech G733
33,Team Liquid,Jamppi,ZOWIE EC1-CW,1000.0,800.0,0.317,253.56,1.0090000000000001,ASUS ROG XG258Q,1440x1080,Logitech G640 Original,Alienware AW420K,HyperX Cloud II
34,Team Liquid,bstrdd,Logitech G Pro X Superlight 2 Black,,800.0,0.29,232.0,,Alienware AW2521HF,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud III
35,Fnatic,Alfajer,Razer Deathadder V3 Pro White,1000.0,400.0,0.45,180.0,1.0,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Fnatic miniSTREAK,HyperX Cloud II
36,Fnatic,Derke,Logitech G Pro X Superlight Black,1000.0,800.0,0.37,296.0,1.0,ASUS ROG PG27AQDM,2560x1440,ZOWIE G-SR-SE Gris,Wooting 60 HE,HyperX Cloud II Gun Metal
37,Fnatic,Leo,Razer Deathadder V3 Pro White,1000.0,400.0,0.41,164.0,1.0,ZOWIE XL2566K,1280x1024,Artisan FX Hien Mid,Wooting 60 HE,
38,Fnatic,Boaster,Fnatic x Lamzu Thorn,1000.0,400.0,0.52,208.0,1.0,ZOWIE XL2566K,1920x1080,Fnatic DASH XL,Fnatic miniSTREAK,Logitech G Pro X Headset
